CompanyId,CompanyName,TickerSymbol,FinancesCurrency,MarketCapitalizationInUsd,FinancesCurrentAsOf
3633,Shoprite Holdings,SHP-ZA,ZAR,7279810500,6/26/2017
3832,Suedzucker,SZU-DE,EUR,5353639830,9/27/2016
4043,Toyo Suisan Kaisha,2875-JP,JPY,3929110900,3/31/2017
4059,Transcontinental,TCL.A-CA,CAD,980157110,11/1/2016
4314,Wilmar International,F34-SG,SGD,16287069960,11/05/2018
2848,Noble Group,SGX: CGP,SGD,628432157.6,12/21/2018
3045,PepsiCo,PEP-US,USD,172280000000,2017
3048,Performance Food Group,PFGC-US,USD,2290000000,11/29/2016
3310,Quanta Computer,2382-TW,TWD,6298038180,2/18/2016
3787,Stanley Black & Decker,SWK-US,USD,24090000000,2/14/2018
3967,Tesco,TSCO-GB,GBP,33799951276,9/18/2018
4407,Zoetis,ZTS-US,USD,24690000000,11/22/2016
3138,Premier Foods,PFD-GB,GBP,557465874.4,11/3/2016
3372,Resolute Forest Products,RFP-US,USD,394900000,7/14/2017
3373,Restaurant Brands International,QSR-CA,CAD,12255489620,08/01/2018
3705,Smurfit Kappa Group,SK3-IE,EUR,6765350130,7/20/2017
3887,Swire Pacific,19-HK,USD,109970000000,6/28/2017
3899,Symrise,SY1-DE,EUR,8035889400,11/29/2016
3900,Syngenta,CH: SYNN,CHF,42521554750,7/13/2017
4178,Velux Group,Subsidiary,DKK,,
4180,Veolia,VIE-FR,EUR,13031172000,2/19/2016
4378,Yum! Brands,YUM-US,USD,34900000000,1/16/2019
4380,YUSEN LOGISTICS,,JPY,426068500,2/24/2016
357,Asics,7936-JP,JPY,4106372270,11/30/2016
592,Bongrain - Name changed to Groupe Savencia,SAVE-FR,USD,900130000,7/16/2015
1488,ForFarmers,FFARM-NL,EUR,786746150.2,12/31/2018
1891,Hindustan Unilever Limited,HINDUNIL-IN,INR,26744400000,10/26/2016
2093,IOI Group,IOIPG-MY,MYR,6986286720,3/14/2017
2094,Bunge Loders Croklaan,Subsidiary,,,
2305,Kraft Heniz Co,KHC-US,USD,89820000000,7/9/2015
2626,Metcash,MTS-AU,AUD,2226506560,2/27/2018
2628,Metro AG,B4B-DE,EUR,10631264490,6/5/2017
2769,Natura Cosmeticos,NATU3-BR,BRL,3148969180,11/2/2016
2942,Oriflame Cosmetics,ORI-SE,SEK,1955003160,9/22/2016
2943,Origin Energy,ORG-AU,AUD,10893727680,10/28/2018
211,Allied Bakeries,Subsidiary,EUR - Euro,,
213,Allied Mills,Subsidiary,,,
216,Almacenes Exito,EXITO-CO,COP,1994700000,9/1/2016
441,Bakrie Sumatera Plantations,UNSP-ID,IDR,0,8/9/2017
664,Bumitama Agri,P8Z-SG,,,8/9/2017
666,Bunge,BG-US,USD,11440000000,3/2/2017
667,Bunnings,Subsidiary,AUD,0,
670,Burberry,BRBY-GB,GBP,10917148060,11/08/2018
671,Bureau Veritas Certification,BVI-FR,EUR,8796041100,3/11/2016
672,Burger King,Subsidiary,,,
869,Cloetta,CLA B-SE,SEK,1067003520,10/12/2016
877,Coca-Cola,KO,USD,180140000000,2017
1272,Elior,ELIOR-FR,EUR,3876773670,3/17/2017
1275,Emami Agrotech,Subsidiary,,,
1687,Greencore Group plc,GNC-GB,GBP,1829126390,10/20/2016
1899,HITACHI TRANSPORT SYSTEM,9086-JP,JPY,1609779600,2/22/2016
1900,HITACHI ZOSEN,7004-JP,JPY,788437650,3/10/2016
1903,HKScan Group,HKSAV-FI,EUR,185542170.7,3/27/2018
2066,Intel,INTC-US,USD,173530000000,2017
2076,International Airlines Group,,EUR,15127018830,3/17/2017
3583,SENKO,9069-JP,JPY,841928230,3/10/2016
3814,Stora Enso,STERV-FI,EUR,10153454850,10/16/2018
3996,Thomas Cook Group,TCG-GB,GBP,1886736670,3/30/2017
2868,North West Company,NWC-CA,CAD,1135289890,6/5/2017
3475,Saint-Gobain,SGO-FR,EUR,23857904070,11/8/2016
3744,Solvay,SOLB-BE,EUR,13422107160,11/25/2018
3745,Sonae SGPS SA,SON-PT,EUR,2084987520,3/8/2016
3959,Terna,TRN-IT,EUR,8861196960,8/25/2015
3963,Terra Santa Agro,TESA3-BR,BRL,60045622.84,5/23/2017
2644,Millennium & Copthorne Hotels,MLC-GB,GBP,2131580360,7/24/2017
2646,MillerCoors,Subsidiary,,,
2760,National Grid,NG.-GB,GBP,53779196380,4/20/2017
2902,Officeworks,Subsidiary,AUD,0,
2905,Oji Holdings Corporation,3861-JP,JPY,4424700280,10/12/2018
2906,O'Key Group,OKEY-GB,USD,589270000,11/28/2016
2908,Olam Food Ingredients,Subsidiary,SGD,,8/24/2017
2909,Olam International,O32-SG,SGD,5373126040,11/14/2018
3102,Podravka,PODR-R-A-HR,HRK,222126578.4,4/13/2017
3323,R.E.A. Holdings Plc,,,,8/9/2017
3332,Raisio Group,RAIVV-FI,EUR,705887727.9,10/20/2016
3533,Svenska Cellulose SCA AB,SCA B-SE,SEK,5352567000,6/21/2017
3920,Tapestry,TPR-US,USD,12180000000,12/18/2017
3922,Target,TGT-US,USD,28000000000,8/22/2018
4146,UPM-Kymmene Corporation,UPM-FI,EUR,14638349880,2017
2784,Natuzzi,NTZ-US,USD,91570000,11/1/2016
2786,NCR JAPAN,NCR-US,USD,3360000000,3/4/2016
3354,Reed Elsevier,,GBP,17527927690,6/2/2015
3363,RELX Group,REL-GB,GBP,22381593780,5/23/2016
3575,Seiyu,,,,
3577,Sekisui House,1928-JP,JPY,10208770000,11/9/2016
3765,Speedibake,,,,2/23/2018
3772,Sprint Corp.,S-US,USD,33890000000,4/24/2017
3977,The Body Shop,,,,
4247,Walgreens Boots Alliance,WBA-US,USD,88250000000,9/17/2018
4449,Hugo Boss,BOSS-DE,EUR - Euro,,2017
2832,Nippon Access,,JPY,,1/1/2016
2833,Nippon Meat Packers,2282-JP,JPY,6221950020,6/28/2017
2834,Nippon Paper Group,3863-JP,JPY,2012730720,2018
2836,Nippon Suisan Kaisha,1332-JP,JPY,1763501740,6/28/2017
3035,Pearson,PSON-GB,GBP,7302102990,10/04/2018
3461,SABMILLER,,GBP,102935167790,7/14/2016
3650,SIGMAXYZ,6088-JP,JPY,70448950,1/26/2016
3656,Sime Darby,SIME-MY,MYR,4274018000,2/12/2018
3840,Sumitomo Forestry Co.,1911-JP,JPY,3028967370,1/30/2018
4088,TSH Resources Berhad,TSH-MY,,,8/9/2017
4089,Tsuruha Holdings,3391-JP,JPY,5013265400,6/30/2017
4318,Wing on Department Stores,289-HK,HKD,996169500,6/21/2017
4323,Wipro,WIT-US,INR,20058300000,3/21/2016
4328,WM Morrison Supermarkets,MRW-GB,GBP,7979023780,3/30/2017
2945,Orkla,ORK-NO,NOK,9013257540,12/6/2016
3180,PT Agro Bukit,,,,
3183,PT Agro Wana Lestari,,,,
3404,Robinsons Retail Holdings,RRHI-PH,PHP,2566670920,6/23/2017
3821,Strauss Group,STRS-IL,ILS,1906466000,6/27/2017
4063,Travis Perkins Group,TPK-GB,GBP,5372158610,10/04/2018
4268,Weis Markets,WMK-US,USD,1320000000,3/21/2016
4273,Wendy's,WEN-US,USD,3350000000,3/30/2017
4472,GVFI,,,,
4007,Tiffany & Co.,TIF-US,USD,12010000000,3/30/2017
4201,VF Outdoors,VFC-US,USD,24020000000,11/23/2016
4211,VINX CORP.,3784-JP,JPY,51718810,2/24/2016
4430,Arata,2733-JP,JPY - Japanese Yen,,[Please select]
1144,Dixy Group,,RUB,520223760,2/5/18
